t (s),DD (1/s),D3He (1/s),3He3He (1/s)
1.13002176847e-09,2.70608216962e+17,7.71856574729e+15,598510288.04
1.14002176847e-09,2.14403115183e+17,5.45347883959e+15,352993696.868
1.15002176847e-09,1.70563927531e+17,3.78264514442e+15,196859293.089
1.16002176847e-09,1.34397816774e+17,2.58931871473e+15,107463611.637
1.17002176847e-09,1.09346162732e+17,1.86072189268e+15,63116587.9481
1.18002176847e-09,8.32399977958e+16,1.24127794495e+15,33899638.6237
1.19002176847e-09,7.01404305003e+16,9.40325914812e+14,21525772.6865
1.20002176847e-09,5.5459264794e+16,6.4884134133e+14,11823368.7242
1.21002176847e-09,4.60275081878e+16,4.81571937721e+14,7263458.64707
1.22002176847e-09,3.55510675225e+16,3.21609010423e+14,3781864.78975
1.23002176847e-09,2.74635361476e+16,2.19722752227e+14,2088738.96766
1.24002176847e-09,2.37084391106e+16,1.73132554377e+14,1403110.48272
1.25002176847e-09,1.90593674931e+16,1.22917766985e+14,800037.706251
1.26002176847e-09,1.50737419567e+16,8.51121327303e+13,436981.453234
1.27002176847e-09,1.2283636272e+16,6.19036452675e+13,258860.537077
1.28002176847e-09,1.03623602131e+16,4.72978746538e+13,165140.671826
1.29002176847e-09,8.06263471329e+15,3.21142273849e+13,87231.1405021
1.30002176847e-09,6.385786392e+15,2.28354854412e+13,50733.5857637
1.31002176847e-09,5.29706091004e+15,1.70507619213e+13,31074.4588628
1.32002176847e-09,4.36868190746e+15,1.26328609614e+13,18775.5992953
1.33002176847e-09,3.58074768598e+15,9.28167253077e+12,11178.5977514
1.34002176847e-09,2.91740293723e+15,6.76601902545e+12,6563.94431912
1.35002176847e-09,2.36083358582e+15,4.88652029983e+12,3790.4825698
1.36002176847e-09,2.08719899692e+15,4.01091314127e+12,2684.49385955
1.37002176847e-09,1.70289577164e+15,2.9317597373e+12,1574.00846842
1.38002176847e-09,1.3970699043e+15,2.16906411411e+12,944.323647331
1.39002176847e-09,1.10412486655e+15,1.51830543414e+12,515.31801569
1.40002176847e-09,9.54051359323e+14,1.20962568944e+12,346.87895603
1.41002176847e-09,8.22441376814e+14,960905358564.0,232.220490917
1.42002176847e-09,6.44872313394e+14,666568615813.0,124.312823747
1.43002176847e-09,5.54853352395e+14,528354163228.0,82.6666891798
1.44002176847e-09,4.5954868125e+14,389871935828.0,47.506177628
1.45002176847e-09,3.75668581085e+14,288503646217.0,28.2721105775
1.46002176847e-09,3.21320359108e+14,227444809981.0,18.6123518242
1.47002176847e-09,2.73439315556e+14,178179209456.0,12.1237674318
1.48002176847e-09,2.29732184268e+14,137017009194.0,7.63815667328
1.49002176847e-09,1.8303531165e+14,97544056530.5,4.20859849472
1.50002176847e-09,1.54696303907e+14,75664568078.0,2.67937039206
1.51002176847e-09,1.307935559e+14,58675307062.2,1.69973245497
1.52002176847e-09,1.11962849893e+14,45970693215.2,1.08169691622
1.53002176847e-09,9.15434695655e+13,34206913265.5,0.643816495881
1.54002176847e-09,7.97125872208e+13,27767800957.1,0.441776409935
1.55002176847e-09,6.94437267778e+13,22551914742.5,0.303042079063
1.56002176847e-09,5.61469192894e+13,16529234585.0,0.174865001389
1.57002176847e-09,5.11684719487e+13,14160103320.4,0.12868232894
1.58002176847e-09,4.26527451728e+13,10818923661.7,0.0792304550962
1.59002176847e-09,3.51622484832e+13,8176154890.4,0.0481809404837
1.60002176847e-09,3.04131713929e+13,6606345163.16,0.0327561343939
1.61002176847e-09,2.4312738036e+13,4770501429.08,0.0182517176233
1.62002176847e-09,2.26239328939e+13,4221730934.18,0.0142039721073
1.63002176847e-09,1.81473273202e+13,3075221599.21,0.00805046333064
